md5,title,author
03c528d58193d174332d6d7b1e2732aa,The New Annotated Sherlock Holmes 1: The Complete Short Stories: The Adventures of Sherlock Holmes and The Memoirs of Sherlock Holmes Vol. 1),Arthur Conan Doyle
127a5d015577c09cb6c8b2dbaf9cac9e,"Cricut Design Space: A beginner's guide, updated, illustrated and detailed, follows you step by step in all operations with Cricut Machine. Many new unpublished information. You are no longer alone!",Joanna Maker
006fcd6dbd10b37face87dcbe4f8e975,"Cell and Microbe Science Fair Projects, Revised and Expanded Using the Scientific Method",Kenneth G. Rainis
733f9dc71f6e19f5f19145f4ca892dae,"Outsmarting Autism, Updated and Expanded: Build Healthy Foundations for Communication, Socialization, and Behavior at All Ages",Patricia S. Lemer
347bf206eb52fa6cf5338821779c5cd5,"Ecosystem Science Fair Projects, Revised and Expanded Using the Scientific Method","Pam Walker, Elaine Wood"
4761704f8ec8acc80a79eb6c066b2b81,"Earth Science Fair Projects, Revised and Expanded Using the Scientific Method",Yael Calhoun
6ebe98eb43129b10ea908e9d422dec76,"Weather Science Fair Projects, Revised and Expanded Using the Scientific Method",Robert Gardner
acb6ab83a65d9cc88c470633498ba1a9,Your First Novel Revised and Expanded Edition: A Top Agent and a Published Author Show You How to Write Your Book and Get It Published,"Ann Rittenberg, Laura Whitcomb"
b95b5f4b07c12de7e3f96426307718fd,How to Quit Your Job with Rental Properties: Expanded and Updated--A Step by Step Guide to Retire Early with Real Estate Investing and Passive Income,Dustin Heiner
df2062846e7641d9e7e49f2ea7119454,"Electricity and Magnetism Science Fair Projects, Revised and Expanded Using the Scientific Method",Robert Gardner
cddda53fa8b1c9025073af7cca306d8f,"Environmental Science Fair Projects, Revised and Expanded Using the Scientific Method","Thomas R. Rybolt, Robert C. Mebane"
770fa9606705772704719bdf9acdad1f,Planet Earth : Science Fair Projects; Revised and Expanded Using the Scientific Method,Robert Gardner
126c21fd311ffa9ecd299fab956f676e,"Plant and Animal Science Fair Projects, Revised and Expanded Using the Scientific Method",Yael Calhoun
d68d56c243884e0369f99c03385564a9,"CSS: The Definitive Guide, 5th Edition (Second Early Release)","Eric A. Meyer, Estelle Weyl"
b25c0e73d099f23b0adbc2ebf1ef4fb5,Water Science : Fair Projects; Revised and Expanded Using the Scientific Method,Madeline Goodstein
c00d203f492c3576ea64727ffe07f64c,"Genetics and Evolution Science Fair Projects, Revised and Expanded Using the Scientific Method",Robert Gardner
7eb300e390f94217441e1159a71acf46,"Forces and Motion Science Fair Projects, Revised and Expanded Using the Scientific Method",Robert Gardner
63e8f4bc050edb19f27f7cd523bc61bf,"Troubleshooting and Repairing Diesel Engines, 5th Edition",Paul Dempsey
f5489fe2044a11a231fd0b05a8fc7236,"Plastics and Polymers Science Fair Projects, Revised and Expanded Using the Scientific Method",Madeline Goodstein
36c16e7fabbf720426fd2b1d8a39a453,"Organic Chemistry Science Fair Projects, Revised and Expanded Using the Scientific Method","Robert Gardner, Barbara Gardner Conklin"
5f4b4d847bd23fb862798d966a9352cb,The Complete Poems of Edgar Allan Poe Illustrated by William Heath Robinson: Poetical Works and Poetry (unabridged versions),Edgar Allan Poe
cfab3d38f9599d0cacb1497980785a3d,"The American Supreme Court, Sixth Edition","Robert G. McCloskey, Sanford Levinson"
193e15159b538b7eb7b6c36b40d5c0e3,Computer Security Fundamentals. Fifth Edition,Chuck Easttom
a8e088a6358c0498389de83df3a2f0c7,Mastering Ubuntu Server - Fourth Edition,Jay LaCroix
ac30c0b2217daabba87e207fb8eb1bc5,Discover Your True North: Expanded and Updated Edition,Bill George
6c64906896891eafcf67364c2fecfeae,Groucho Marx and Other Short Stories and Tall Tales: Selected Writings of Groucho Marx An Updated and Expanded Edition,Robert S. Bader
29f3185e9692d9a49a013707c1605cde,"One Simple Idea, Revised and Expanded Edition",Stephen Key
ae6698064c853aebf3f03133ac50dfcd,"Energy Medicine: Balancing Your Body's Energies for Optimal Health, Joy, and Vitality Updated and Expanded",Donna Eden & David Feinstein
a7a7d877cdff0727b49624bf968a2451,"Healthy Sleep Habits, Happy Child, 5th Edition: A New Step-by-Step Guide for a Good Night's Sleep","Marc Weissbluth, M.D."
b14ea44f3cf523b9f7c10fc29717f189,"Mechanisms and Mechanical Devices Sourcebook, Fourth Edition","Neil Sclater, Nicholas Chironis"
04879e45da449809ba729829412bfc42,How to Be a Lady Revised and Expanded: A Contemporary Guide to Common Courtesy,Candace Simpson-Giles
f7b259a9b0ddd7da489dfcb9f4d0c383,Delphi Complete Works of El Greco (Illustrated),El Greco; Peter Russell
aabaa4dc9314810d146247a91cf10be2,"Marketing Plans for Services: A Complete Guide, 3rd Edition","Malcolm McDonald, Pennie Frow, Adrian Payne"
1cfe3d6566f1e8ad8a8eb9daa43f7152,"Deep Learning with TensorFlow and Keras, 3rd Edition","Amita Kapoor, Antonio Gulli, Sujit Pal"
515e72dac3d0dbd1bdf7d9ae0aa4ecd0,"Linux in a Nutshell, 6th Edition","Ellen Siever, Stephen Figgins, Robert Love, Arnold Robbins"
890549aa7935b83e11e1da818d1d36b5,"Security Analysis: Sixth Edition, Foreword by Warren Buffett",Benjamin Graham & David Dodd
b8d95977a2c51b5cbbdbaef1f02a78e0,DAVIDSON'S 23RD EDITION _ CONTENTS and INDEX,Davidson's
d48193365f0fe0c56995261253c60150,"Italian Grammar Drills, Premium 4th Ed",Paola Nanni-Tate
3ed7d413fe6dc8e4f5293e5053192f6b,PREPAREDNESS NOW!: An Emergency Survival Guide (Expanded and Revised Edition),Aton Edwards
0eb9783289a18274162544aef95c4b2a,"Health and Safety Law: Suitable for NEBOSH Qualifications, European Dimension, Statute Law, Regulations Enforcement, Case Law (Fifth Edition)",Jeremy Stranks
cf4ce17d97f387720a2cd9c23a38ad1c,"Parenting the new teen in the age of anxiety : a complete guide to your child's stressed, depressed, expanded, amazing adolescence",John Duffy
70fb613643ccf8e282c1617ec7cffdda,"CISSP Cert Guide, 4th Edition",Robin Abernathy & Darren R. Hayes
afe950dabf8d768d602e26fd6cfc6c01,"Back to Basics: A Complete Guide to Traditional Skills, Third Edition","Gehring, Abigail R."
5563e7b9bcefef313971e705214c071c,The Complete Photoshop Image Editing Manual - 15th Edition 2022,"Magazine,"
4aa9404caaed89b53f10c8616ae7badc,"The New Meaning of Educational Change, Fifth Edition",Michael Fullan
c0c32cd18efa545d22ffb96098561769,"The ADA Practical Guide to Effective Infection Prevention and Control, 5th Edition",American Dental American Dental Association
